Issue Key,Summary,Description,Priority,Story Points,Labels
AUTH-001,Authentication & Authorization,"Complete authentication system including user registration, login, password management, and email verification for restaurant owners and staff members.",Highest,,auth;security;backend
AUTH-002,RegisterRestaurantUseCase,"Implement restaurant owner registration flow with email verification. Create restaurant entity, owner user account, and send verification email. Validate unique email and business information.",Highest,5,auth;registration;backend
AUTH-003,LoginUseCase,"Implement secure login with email/password. Generate JWT access token (15min) and refresh token (30 days). Store refresh token in Redis. Log authentication events.",Highest,3,auth;jwt;backend
AUTH-004,RefreshTokenUseCase,"Implement token refresh mechanism. Validate refresh token from Redis, generate new access token. Handle token rotation and blacklisting.",Highest,3,auth;jwt;backend
AUTH-005,LogoutUseCase,"Implement logout functionality. Invalidate refresh token in Redis, add access token to blacklist. Clear user session.",High,2,auth;backend
AUTH-006,ForgotPasswordUseCase,"Implement forgot password flow. Generate secure reset token, send email with reset link. Token expires in 1 hour.",High,3,auth;email;backend
AUTH-007,ResetPasswordUseCase,"Implement password reset with token validation. Verify token, hash new password with bcrypt (12 rounds), invalidate reset token.",High,3,auth;security;backend
AUTH-008,ChangePasswordUseCase,"Implement password change for authenticated users. Verify old password, validate new password strength, update with bcrypt hash.",Medium,2,auth;backend
AUTH-009,VerifyEmailUseCase,"Implement email verification after registration. Validate verification token, activate user account, update email_verified status.",High,3,auth;email;backend
REST-001,Restaurant Management,"Restaurant profile management including creation, updates, logo upload, statistics dashboard, and soft deletion for multi-tenant SaaS platform.",High,,restaurant;tenant;backend
REST-002,CreateRestaurantUseCase,"Create new restaurant entity during registration. Initialize with default settings, create first subscription (trial), set up tenant context.",Highest,5,restaurant;tenant;backend
REST-003,UpdateRestaurantUseCase,"Update restaurant profile information including name, contact details, business hours. Validate tenant ownership before update.",High,3,restaurant;backend
REST-004,GetRestaurantDetailsUseCase,"Retrieve complete restaurant details including subscription status, feature limits, branch count, and statistics.",High,2,restaurant;backend
REST-005,UploadRestaurantLogoUseCase,"Upload restaurant logo to Cloudinary. Validate image format (JPEG/PNG/WEBP), size limit (5MB). Store URL in database.",Medium,3,restaurant;media;backend
REST-006,GetRestaurantStatisticsUseCase,"Generate restaurant-wide statistics: total revenue, order count, active branches, table utilization, popular items. Cache results.",High,5,restaurant;analytics;backend
REST-007,DeleteRestaurantUseCase,"Soft delete restaurant and cascade to all related entities. Archive data, cancel subscription, notify owner via email.",Low,2,restaurant;backend
BRANCH-001,Branch Management,"Multi-branch operations including creation, updates, status management, statistics, and branch-level configuration for restaurant chains.",High,,branch;backend
BRANCH-002,CreateBranchUseCase,"Create new branch under restaurant. Validate subscription limits (max branches). Initialize with areas and default settings.",Highest,5,branch;backend
BRANCH-003,UpdateBranchUseCase,"Update branch information: name, address, phone, business hours. Validate tenant ownership and branch existence.",High,3,branch;backend
BRANCH-004,GetBranchDetailsUseCase,"Retrieve branch details including areas, table count, active orders, staff assigned, and current status.",High,2,branch;backend
BRANCH-005,ListBranchesUseCase,"List all branches with pagination, filtering, and sorting. Support search by name/address. Cache results.",High,3,branch;backend
BRANCH-006,DeleteBranchUseCase,"Soft delete branch. Validate no active orders, reassign staff, archive data. Prevent deletion if only branch.",Medium,3,branch;backend
BRANCH-007,GetBranchStatisticsUseCase,"Generate branch-specific statistics: daily revenue, order count, table turnover, peak hours, staff performance.",High,5,branch;analytics;backend
BRANCH-008,SetBranchStatusUseCase,"Update branch operational status (active/inactive/maintenance). Notify staff, update table availability.",Medium,2,branch;backend
TABLE-001,Table & Area Management,"Complete table and area management including QR code generation, table status tracking, area organization, and table merging for split bills.",Highest,,table;qr;backend
TABLE-002,CreateAreaUseCase,"Create dining area within branch (Main Dining, VIP, Outdoor). Set sort order for display. Validate unique name per branch.",Highest,3,table;backend
TABLE-003,UpdateAreaUseCase,"Update area information and sort order. Validate no active orders in area before major changes.",Medium,2,table;backend
TABLE-004,DeleteAreaUseCase,"Delete area if no tables assigned. Soft delete with validation. Prevent deletion if tables exist.",Low,2,table;backend
TABLE-005,CreateTableUseCase,"Create table with auto-generated QR code. Set capacity, area assignment. Generate unique QR token using SHA256 hash.",Highest,5,table;qr;backend
TABLE-006,UpdateTableUseCase,"Update table information: name, capacity, area, position. Validate no active orders before major changes.",High,3,table;backend
TABLE-007,DeleteTableUseCase,"Soft delete table. Validate no active orders or reservations. Archive QR code.",Medium,2,table;backend
TABLE-008,GenerateTableQRUseCase,"Generate/regenerate QR code for table. Create unique token, generate QR image, store in Cloudinary. Return QR URL.",Highest,5,table;qr;backend
