Issue Key,Issue Type,Summary,Description,Priority,Story Points,Labels,Parent
AUTH-001,Epic,Authentication & Authorization,"Complete authentication system including user registration, login, password management, and email verification for restaurant owners and staff members.",Highest,,auth;security;backend,
AUTH-002,Story,RegisterRestaurantUseCase,"Implement restaurant owner registration flow with email verification. Create restaurant entity, owner user account, and send verification email. Validate unique email and business information.",Highest,5,auth;registration;backend,AUTH-001
AUTH-003,Story,LoginUseCase,"Implement secure login with email/password. Generate JWT access token (15min) and refresh token (30 days). Store refresh token in Redis. Log authentication events.",Highest,3,auth;jwt;backend,AUTH-001
AUTH-004,Story,RefreshTokenUseCase,"Implement token refresh mechanism. Validate refresh token from Redis, generate new access token. Handle token rotation and blacklisting.",Highest,3,auth;jwt;backend,AUTH-001
AUTH-005,Story,LogoutUseCase,"Implement logout functionality. Invalidate refresh token in Redis, add access token to blacklist. Clear user session.",High,2,auth;backend,AUTH-001
AUTH-006,Story,ForgotPasswordUseCase,"Implement forgot password flow. Generate secure reset token, send email with reset link. Token expires in 1 hour.",High,3,auth;email;backend,AUTH-001
AUTH-007,Story,ResetPasswordUseCase,"Implement password reset with token validation. Verify token, hash new password with bcrypt (12 rounds), invalidate reset token.",High,3,auth;security;backend,AUTH-001
AUTH-008,Story,ChangePasswordUseCase,"Implement password change for authenticated users. Verify old password, validate new password strength, update with bcrypt hash.",Medium,2,auth;backend,AUTH-001
AUTH-009,Story,VerifyEmailUseCase,"Implement email verification after registration. Validate verification token, activate user account, update email_verified status.",High,3,auth;email;backend,AUTH-001
REST-001,Epic,Restaurant Management,"Restaurant profile management including creation, updates, logo upload, statistics dashboard, and soft deletion for multi-tenant SaaS platform.",High,,restaurant;tenant;backend,
REST-002,Story,CreateRestaurantUseCase,"Create new restaurant entity during registration. Initialize with default settings, create first subscription (trial), set up tenant context.",Highest,5,restaurant;tenant;backend,REST-001
REST-003,Story,UpdateRestaurantUseCase,"Update restaurant profile information including name, contact details, business hours. Validate tenant ownership before update.",High,3,restaurant;backend,REST-001
REST-004,Story,GetRestaurantDetailsUseCase,"Retrieve complete restaurant details including subscription status, feature limits, branch count, and statistics.",High,2,restaurant;backend,REST-001
REST-005,Story,UploadRestaurantLogoUseCase,"Upload restaurant logo to Cloudinary. Validate image format (JPEG/PNG/WEBP), size limit (5MB). Store URL in database.",Medium,3,restaurant;media;backend,REST-001
REST-006,Story,GetRestaurantStatisticsUseCase,"Generate restaurant-wide statistics: total revenue, order count, active branches, table utilization, popular items. Cache results.",High,5,restaurant;analytics;backend,REST-001
REST-007,Story,DeleteRestaurantUseCase,"Soft delete restaurant and cascade to all related entities. Archive data, cancel subscription, notify owner via email.",Low,2,restaurant;backend,REST-001
BRANCH-001,Epic,Branch Management,"Multi-branch operations including creation, updates, status management, statistics, and branch-level configuration for restaurant chains.",High,,branch;backend,
BRANCH-002,Story,CreateBranchUseCase,"Create new branch under restaurant. Validate subscription limits (max branches). Initialize with areas and default settings.",Highest,5,branch;backend,BRANCH-001
BRANCH-003,Story,UpdateBranchUseCase,"Update branch information: name, address, phone, business hours. Validate tenant ownership and branch existence.",High,3,branch;backend,BRANCH-001
BRANCH-004,Story,GetBranchDetailsUseCase,"Retrieve branch details including areas, table count, active orders, staff assigned, and current status.",High,2,branch;backend,BRANCH-001
BRANCH-005,Story,ListBranchesUseCase,"List all branches with pagination, filtering, and sorting. Support search by name/address. Cache results.",High,3,branch;backend,BRANCH-001
BRANCH-006,Story,DeleteBranchUseCase,"Soft delete branch. Validate no active orders, reassign staff, archive data. Prevent deletion if only branch.",Medium,3,branch;backend,BRANCH-001
